review,sentiment_label
"It’s a beauty which comes at a cost. The transition from Android to IOS has been pretty smooth.My views after  20 days of usage are as follows1. Amazing display2. Excellent camera no comparison with other phones3. Very good sound quality 4. The interface is confusing, will get used to it5. Battery is good, could have been better6. The design is awesome and very light in weight.Blue Color is really vibrantREAD MORE",positive
Thank u flipkartREAD MORE,positive
❤️ no need to tell anything . Every one knows about I phone.READ MORE,positive
GoodREAD MORE,positive
"Build quality of this phone is very goodCamera quality averageSound quality fantasticPerformance is also very good,Average battery lifeREAD MORE",positive
Best in quality ❤️Value for money ✌️READ MORE,positive
It Emits a Large amount of heat during charging.READ MORE,negative
Absolutely loved it. Thank you Flipkart for the best pricing!READ MORE,positive
love itREAD MORE,positive
"iPhone 6S Plus 64GB -> iPhone 12 128GBMy 2nd iPhone, upgraded after 5 years.Gorgeous display, stunning new blue colour, excellent camera, best hardware-software combination, that’s how I would describe iPhone 12 as a package. 😊Even though my previous iPhone had a 5.5” display and this one has 6.1” display, its overall body size is much smaller. Had to get used to it initially 🙂Opening/closing/loading of apps is fast. No issues there. Video playback on this screen looks gorgeous. Took...READ MORE",positive
"This is first time I have bought iPhone and I am quite happy with the purchase. Initially I struggled little bit to get my way around it but overall it’s a great product. Performance is great, screen resolution is awesome, camera as usual is the best.READ MORE",positive
I loved the mobile..I have to explore more and check the performance ..READ MORE,positive
Providing review after 1 month of use .. no doubt it’s a good mobile handling is very smooth n performance is very good as well front camera is descent back camera is awesome with a nice detailing… cons battery life is not very long proper use of phone may need charging once in every 10 hours … if you lay down and try to open the phone by face recognition then it doesn’t work .. you need to hold the phone flat parallel to your bed then it opens up.READ MORE,negative
WowREAD MORE,positive
Outstanding! Value for moneyREAD MORE,positive
Awesome 🖤🖤READ MORE,positive
Value of money good product 😘READ MORE,positive
ExcellentREAD MORE,positive
Got a genuine product. Checked the serial number online as well and it all matched. Works like a charm. Fast as ever. Worth the moneyREAD MORE,positive
